Available,Discontinued,Product
0.814,0.186,Dell G Series G7 7588 15.6-inch FHD Laptop
0.904,0.096,Dell 27 Monitor
0.89,0.11,Inspiron 15 7572 Laptop
0.912,0.088,Latitude Dell 5175 Tablet
0.972,0.028,XPS 13 Laptop
0.022,0.978,New Inspiron 22 3275 All-in-One
0.02,0.98,Dell G Series G7 7588 15.6-inch FHD Laptop
0.094,0.906,Latitude Dell 5175 Tablet
0.262,0.738,Dell G7 15 Gaming Laptop
0.012,0.988,Dell G5 15 Gaming Laptop
0.096,0.904,Latitude Dell 5175 Tablet
0,1,XPS 8920 Desktop Tower
0.112,0.888,Dell Precision M5510 WorkStation Laptop
0.092,0.908,Dell 24 Touch Monitor
0.068,0.932,Dell Venue 7 3741 Tablet 
0.028,0.972,XPS 8920 Desktop Tower
0.032,0.968,Dell Precision M5510 WorkStation Laptop
0.03,0.97,Dell UltraSharp 27 4K HDR Monitor 
0.006,0.994,Dell Inspiron 13 5378 2-in-1 
0.006,0.994,DELL Inspiron 7570 15.6-inch FHD Laptop
0.134,0.866,Dell Precision M5510 WorkStation Laptop
0.008,0.992,Inspiron 27 7000 All-in-One
0.188,0.812,Dell Vostro 3000 
0.11,0.89,Dell Venue 7 3741 Tablet 
0.14,0.86,Precision 5520 Mobile Workstation
0.162,0.838,Dell Inspiron 3520 Desktop Computer
0,1,Dell G3 15 Gaming Laptop
0,1,Dell 24 UltraSharp Monitor
0.97,0.03,Inspiron 27 7000 All-in-One
0.998,0.002,Latitude Dell 5175 Tablet
0.972,0.028,Inspiron 15 7572 Laptop
0.556,0.444,XPS 13 Laptop
0.668,0.332,DELL Inspiron 7570 15.6-inch FHD Laptop
0.864,0.136,Dell G Series G7 7588 15.6-inch FHD Laptop
0.802,0.198,XPS 8920 Desktop Tower
0.868,0.132,Dell 24 Touch Monitor
0.986,0.014,Dell UltraSharp 27 4K HDR Monitor 
0.974,0.026,Dell G Series G7 7588 15.6-inch FHD Laptop
0.926,0.074,Dell G5 15 Gaming Laptop
0.916,0.084,Dell 24 Touch Monitor
1,0,Dell Vostro 3000 
0.976,0.024,Alienware 25 Gaming Monitor
0.998,0.002,Dell G3 15 Gaming Laptop
0.984,0.016,Dell G5 15 Gaming Laptop
0.974,0.026,Alienware 25 Gaming Monitor
0.988,0.012,Dell 24 UltraSharp Monitor
1,0,Latitude Dell 5175 Tablet
0.976,0.024,Dell 27 Monitor
1,0,Alienware 25 Gaming Monitor
0.988,0.012,"Dell Alienware 15 15.6"" Gaming Laptop "
1,0,Dell G5 15 Gaming Laptop
0.996,0.004,Dell Precision M5510 WorkStation Laptop
0.98,0.02,Dell Inspiron 3520 Desktop Computer
0.976,0.024,Dell Venue 7 3741 Tablet 
1,0,Inspiron 15 7572 Laptop
1,0,Dell 24 UltraSharp Monitor
0.996,0.004,Dell Precision M5510 WorkStation Laptop
0.998,0.002,Dell G Series G7 7588 15.6-inch FHD Laptop
0.982,0.018,Dell Vostro 3000 
0.998,0.002,Inspiron 27 7000 All-in-One
0.924,0.076,Dell 24 UltraSharp Monitor
1,0,Alienware 25 Gaming Monitor
0.942,0.058,Dell Inspiron 13 5378 2-in-1 
0.988,0.012,Latitude Dell 5175 Tablet
0.99,0.01,Dell G7 15 Gaming Laptop
0.964,0.036,Dell Precision M5510 WorkStation Laptop
0.99,0.01,Dell Inspiron 13 5378 2-in-1 
0.984,0.016,Inspiron 15 7572 Laptop
0.992,0.008,DELL Inspiron 7570 15.6-inch FHD Laptop
1,0,Dell Venue 7 3741 Tablet 
0.988,0.012,Dell Vostro 3000 
0.916,0.084,Dell UltraSharp 27 4K HDR Monitor 
0.992,0.008,Alienware 25 Gaming Monitor
0.152,0.848,Dell 24 UltraSharp Monitor
0.112,0.888,"Dell Alienware 15 15.6"" Gaming Laptop "
0.042,0.958,Dell Venue 7 3741 Tablet 
0.122,0.878,XPS 13 Laptop
0.136,0.864,Dell Inspiron 3520 Desktop Computer
0.974,0.026,Dell G7 15 Gaming Laptop
1,0,Dell UltraSharp 27 4K HDR Monitor 
1,0,Dell G7 15 Gaming Laptop
0.998,0.002,XPS 8920 Desktop Tower
0.996,0.004,XPS 13 Laptop
0.996,0.004,New Inspiron 15 5570 Laptop
0.996,0.004,Dell Inspiron 3520 Desktop Computer
0.976,0.024,XPS 8920 Desktop Tower
0.932,0.068,"Dell Alienware 15 15.6"" Gaming Laptop "
0.012,0.988,XPS 8920 Desktop Tower
0.062,0.938,Inspiron 27 7000 All-in-One
0.06,0.94,Latitude Dell 5175 Tablet
0.046,0.954,XPS 13 Laptop
0.028,0.972,Dell UltraSharp 27 4K HDR Monitor 
0.016,0.984,Dell G Series G7 7588 15.6-inch FHD Laptop
0.01,0.99,Latitude Dell 5175 Tablet
0.054,0.946,Dell UltraSharp 27 4K HDR Monitor 
0.22,0.78,Dell Precision M5510 WorkStation Laptop
0.122,0.878,New Inspiron 15 5570 Laptop
0.012,0.988,Latitude Dell 5175 Tablet
0.278,0.722,Dell G Series G7 7588 15.6-inch FHD Laptop
0.11,0.89,Dell 24 Touch Monitor
0,1,Dell Inspiron 13 5378 2-in-1 
0.174,0.826,Dell 24 Touch Monitor
0.214,0.786,Alienware 25 Gaming Monitor
0,1,Dell G3 15 Gaming Laptop
0,1,New Inspiron 15 5570 Laptop
0.99,0.01,Dell Precision M5510 WorkStation Laptop
0.054,0.946,Dell G3 15 Gaming Laptop
0.098,0.902,Dell 24 UltraSharp Monitor
0.04,0.96,Dell G3 15 Gaming Laptop
0.188,0.812,Dell 24 Touch Monitor
0.006,0.994,Dell Inspiron 3520 Desktop Computer
0.012,0.988,Dell 27 Monitor
0.002,0.998,Dell 24 Touch Monitor
0.088,0.912,New Inspiron 22 3275 All-in-One
0.072,0.928,Dell 24 Touch Monitor
0.032,0.968,Inspiron 27 7000 All-in-One
0.076,0.924,Inspiron 15 7572 Laptop
0.054,0.946,Dell Venue 7 3741 Tablet 
0.07,0.93,Dell 24 Touch Monitor
0.022,0.978,XPS 13 Laptop
0.03,0.97,New Inspiron 22 3275 All-in-One
0.058,0.942,Dell UltraSharp 27 4K HDR Monitor 
0.052,0.948,Dell Precision M5510 WorkStation Laptop
0.016,0.984,New Inspiron 22 3275 All-in-One
0.142,0.858,Dell Precision M5510 WorkStation Laptop
0.036,0.964,Dell G3 15 Gaming Laptop
0.036,0.964,Alienware 25 Gaming Monitor
0.028,0.972,"Dell Alienware 15 15.6"" Gaming Laptop "
0.122,0.878,XPS 13 Laptop
0.042,0.958,Inspiron 15 7572 Laptop
0.002,0.998,Inspiron 27 7000 All-in-One
0.034,0.966,Dell Inspiron 3520 Desktop Computer
0.026,0.974,Dell 24 Touch Monitor
0.034,0.966,Precision 5520 Mobile Workstation
0.258,0.742,Dell G3 15 Gaming Laptop
0.012,0.988,Dell Vostro 3000 
0,1,Dell G Series G7 7588 15.6-inch FHD Laptop
0,1,New Inspiron 15 5570 Laptop
0.27,0.73,Dell Vostro 3000 
0.092,0.908,Inspiron 27 7000 All-in-One
0.034,0.966,Alienware 25 Gaming Monitor
0.032,0.968,Inspiron 15 7572 Laptop
0.012,0.988,Dell UltraSharp 27 4K HDR Monitor 
0.004,0.996,Dell G7 15 Gaming Laptop
0.064,0.936,Dell 24 UltraSharp Monitor
0.064,0.936,Dell 27 Monitor
0.018,0.982,"Dell Alienware 15 15.6"" Gaming Laptop "
0,1,Dell 27 Monitor
0.026,0.974,Inspiron 15 7572 Laptop
0.036,0.964,Inspiron 27 7000 All-in-One
0.026,0.974,Dell Inspiron 13 5378 2-in-1 
0.002,0.998,Alienware 25 Gaming Monitor
0.034,0.966,Dell Precision M5510 WorkStation Laptop
0,1,Dell G3 15 Gaming Laptop
0.002,0.998,Latitude Dell 5175 Tablet
0.012,0.988,Latitude Dell 5175 Tablet
0,1,XPS 8920 Desktop Tower
0,1,Inspiron 27 7000 All-in-One
0.418,0.582,Dell 24 UltraSharp Monitor
0.93,0.07,XPS 13 Laptop
0.944,0.056,Inspiron 15 7572 Laptop
0.958,0.042,XPS 13 Laptop
0.862,0.138,Dell 24 UltraSharp Monitor
0.928,0.072,Dell Inspiron 3520 Desktop Computer
0.978,0.022,Dell Inspiron 3520 Desktop Computer
0.968,0.032,Inspiron 27 7000 All-in-One
0.998,0.002,Dell G Series G7 7588 15.6-inch FHD Laptop
0.974,0.026,Latitude Dell 5175 Tablet
0.44,0.56,XPS 8920 Desktop Tower
0.806,0.194,Dell Precision M5510 WorkStation Laptop
0.916,0.084,Dell G Series G7 7588 15.6-inch FHD Laptop
0.01,0.99,Dell G Series G7 7588 15.6-inch FHD Laptop
0,1,Alienware 25 Gaming Monitor
0.12,0.88,Precision 5520 Mobile Workstation
0.206,0.794,Inspiron 27 7000 All-in-One
0.828,0.172,Latitude Dell 5175 Tablet
0.18,0.82,Dell G Series G7 7588 15.6-inch FHD Laptop
0.268,0.732,Latitude Dell 5175 Tablet
0.286,0.714,Dell 27 Monitor
0.494,0.506,Dell 27 Monitor
0.198,0.802,New Inspiron 15 5570 Laptop
0.222,0.778,Precision 5520 Mobile Workstation
0.258,0.742,Dell G5 15 Gaming Laptop
0.06,0.94,Latitude Dell 5175 Tablet
0.046,0.954,Dell Inspiron 13 5378 2-in-1 
0.176,0.824,Dell UltraSharp 27 4K HDR Monitor 
0.782,0.218,Dell G7 15 Gaming Laptop
0.956,0.044,Dell UltraSharp 27 4K HDR Monitor 
0.998,0.002,Dell G5 15 Gaming Laptop
0.996,0.004,Dell Inspiron 3520 Desktop Computer
0.992,0.008,Dell Vostro 3000 
0.998,0.002,Dell G5 15 Gaming Laptop
0.994,0.006,Dell 24 UltraSharp Monitor
0.97,0.03,New Inspiron 15 5570 Laptop
0.986,0.014,Dell G Series G7 7588 15.6-inch FHD Laptop
0.998,0.002,New Inspiron 22 3275 All-in-One
0.998,0.002,Dell UltraSharp 27 4K HDR Monitor 
1,0,Inspiron 27 7000 All-in-One
1,0,Dell G5 15 Gaming Laptop
0.998,0.002,Inspiron 27 7000 All-in-One
1,0,Dell 24 UltraSharp Monitor
1,0,Inspiron 27 7000 All-in-One
0.996,0.004,Dell G Series G7 7588 15.6-inch FHD Laptop
0.996,0.004,Dell 27 Monitor
1,0,Dell G7 15 Gaming Laptop
0.978,0.022,Inspiron 15 7572 Laptop
0.964,0.036,New Inspiron 22 3275 All-in-One
0.976,0.024,"Dell Alienware 15 15.6"" Gaming Laptop "
0.986,0.014,Inspiron 27 7000 All-in-One
0.964,0.036,Dell Inspiron 13 5378 2-in-1 
0.95,0.05,Dell 24 UltraSharp Monitor
0.956,0.044,"Dell Alienware 15 15.6"" Gaming Laptop "
1,0,Precision 5520 Mobile Workstation
0.998,0.002,New Inspiron 15 5570 Laptop
1,0,Latitude Dell 5175 Tablet
0.988,0.012,Dell G7 15 Gaming Laptop
0.95,0.05,Dell G5 15 Gaming Laptop
1,0,Alienware 25 Gaming Monitor
1,0,Precision 5520 Mobile Workstation
1,0,"Dell Alienware 15 15.6"" Gaming Laptop "
0.986,0.014,Latitude Dell 5175 Tablet
0.942,0.058,Dell Venue 7 3741 Tablet 
0.958,0.042,Dell G Series G7 7588 15.6-inch FHD Laptop
0.972,0.028,XPS 8920 Desktop Tower
0.958,0.042,XPS 13 Laptop
0.958,0.042,Dell Inspiron 3520 Desktop Computer
